from_line,to_line,time
Green,Green,2021-03-21T07:58:30
Green,Green,2021-03-21T08:58:30
Green,Green,2021-03-21T09:58:30
Green,Green,2021-03-21T10:58:30
Green,Green,2021-03-21T11:58:30
Green,Green,2021-03-21T12:58:30
Green,Green,2021-03-21T15:58:30
Green,Green,2021-03-21T18:58:30
Green,Green,2021-03-21T19:58:30
Green,Green,2021-03-22T07:58:30
Green,Green,2021-03-22T08:58:30
Green,Green,2021-03-22T09:58:30
Green,Green,2021-03-22T10:58:30
Green,Green,2021-03-22T11:58:30
Green,Green,2021-03-22T12:58:30
Green,Green,2021-03-22T15:58:30
Green,Green,2021-03-22T18:58:30
Green,Green,2021-03-22T19:58:30
Green,Green,2021-03-23T07:58:30
Green,Green,2021-03-23T08:58:30
Green,Green,2021-03-23T09:58:30
Green,Green,2021-03-23T10:58:30
Green,Green,2021-03-23T11:58:30
Green,Green,2021-03-23T12:58:30
Green,Green,2021-03-23T15:58:30
Green,Green,2021-03-23T18:58:30
Green,Green,2021-03-24T19:58:30
Green,Green,2021-03-24T07:58:30
Green,Green,2021-03-24T08:58:30
Green,Green,2021-03-24T09:58:30
Green,Green,2021-03-24T10:58:30
Green,Green,2021-03-24T11:58:30
Green,Green,2021-03-24T12:58:30
Green,Green,2021-03-24T15:58:30
Green,Green,2021-03-24T18:58:30
Green,Green,2021-03-24T19:58:30
Green,Green,2021-03-25T07:58:30
Green,Green,2021-03-25T08:58:30
Green,Green,2021-03-25T09:58:30
Green,Green,2021-03-25T10:58:30
Green,Green,2021-03-25T11:58:30
Green,Green,2021-03-25T12:58:30
Green,Green,2021-03-25T15:58:30
Green,Green,2021-03-25T18:58:30
Green,Green,2021-03-25T19:58:30
Green,Green,2021-03-26T07:58:30
Green,Green,2021-03-26T08:58:30
Green,Green,2021-03-26T09:58:30
Green,Green,2021-03-26T10:58:30
Green,Green,2021-03-26T11:58:30
Green,Green,2021-03-26T12:58:30
Green,Green,2021-03-26T15:58:30
Green,Green,2021-03-26T18:58:30
Green,Green,2021-03-26T19:58:30
Green,Green,2021-03-27T07:58:30
Green,Green,2021-03-27T08:58:30
Green,Green,2021-03-27T09:58:30
Green,Green,2021-03-27T10:58:30
Green,Green,2021-03-27T11:58:30
Green,Green,2021-03-27T12:58:30
Green,Green,2021-03-27T15:58:30
Green,Green,2021-03-27T18:58:30
Green,Green,2021-03-27T19:58:30
Green,Green,2021-03-28T07:58:30
Green,Green,2021-03-28T08:58:30
Green,Green,2021-03-28T09:58:30
Green,Green,2021-03-28T10:58:30
Green,Green,2021-03-28T11:58:30
Green,Green,2021-03-28T12:58:30
Green,Green,2021-03-28T15:58:30
Green,Green,2021-03-28T18:58:30
Green,Green,2021-03-28T19:58:30
Green,Green,2021-03-29T07:58:30
Green,Green,2021-03-29T08:58:30
Green,Green,2021-03-29T09:58:30
Green,Green,2021-03-29T10:58:30
Green,Green,2021-03-29T11:58:30
Green,Green,2021-03-29T12:58:30
Green,Green,2021-03-29T15:58:30
Green,Green,2021-03-29T18:58:30
Green,Green,2021-03-29T19:58:30
Green,Red,2021-03-24T09:58:30
Red,Red,2021-03-25T11:58:30
Green,Green,2021-03-23T07:58:30
Green,Green,2021-03-23T08:58:30